"id","full_sq","life_sq","floor","max_floor","material","num_room","kitch_sq","product_type","area_m","raion_popul","green_zone_part","indust_part","children_preschool","preschool_quota","preschool_education_centers_raion","children_school","school_quota","school_education_centers_raion","school_education_centers_top_20_raion","healthcare_centers_raion","university_top_20_raion","sport_objects_raion","additional_education_raion","culture_objects_top_25","culture_objects_top_25_raion","shopping_centers_raion","office_raion","thermal_power_plant_raion","incineration_raion","oil_chemistry_raion","radiation_raion","railroad_terminal_raion","big_market_raion","nuclear_reactor_raion","detention_facility_raion","full_all","male_f","female_f","young_all","young_male","young_female","work_all","work_male","work_female","ekder_all","ekder_male","ekder_female","X0_6_all","X0_6_male","X0_6_female","X7_14_all","X7_14_male","X7_14_female","X0_17_all","X0_17_male","X0_17_female","X16_29_all","X16_29_male","X16_29_female","X0_13_all","X0_13_male","X0_13_female","raion_build_count_with_material_info","build_count_block","build_count_wood","build_count_frame","build_count_brick","build_count_monolith","build_count_panel","build_count_foam","build_count_slag","build_count_mix","raion_build_count_with_builddate_info","build_count_before_1920","build_count_1921.1945","build_count_1946.1970","build_count_1971.1995","build_count_after_1995","ID_metro","metro_min_avto","metro_km_avto","metro_min_walk","metro_km_walk","kindergarten_km","school_km","park_km","green_zone_km","industrial_km","water_treatment_km","cemetery_km","incineration_km","railroad_station_walk_km","railroad_station_walk_min","ID_railroad_station_walk","railroad_station_avto_km","railroad_station_avto_min","ID_railroad_station_avto","public_transport_station_km","public_transport_station_min_walk","water_km","water_1line","mkad_km","ttk_km","sadovoe_km","bulvar_ring_km","kremlin_km","big_road1_km","ID_big_road1","big_road1_1line","big_road2_km","ID_big_road2","railroad_km","railroad_1line","zd_vokzaly_avto_km","ID_railroad_terminal","bus_terminal_avto_km","ID_bus_terminal","oil_chemistry_km","nuclear_reactor_km","radiation_km","power_transmission_line_km","thermal_power_plant_km","ts_km","big_market_km","market_shop_km","fitness_km","swim_pool_km","ice_rink_km","stadium_km","basketball_km","hospice_morgue_km","detention_facility_km","public_healthcare_km","university_km","workplaces_km","shopping_centers_km","office_km","additional_education_km","preschool_km","big_church_km","church_synagogue_km","mosque_km","theater_km","museum_km","exhibition_km","catering_km","ecology","green_part_500","prom_part_500","office_count_500","office_sqm_500","trc_count_500","trc_sqm_500","cafe_count_500","cafe_count_500_na_price","cafe_count_500_price_500","cafe_count_500_price_1000","cafe_count_500_price_1500","cafe_count_500_price_2500","cafe_count_500_price_4000","cafe_count_500_price_high","big_church_count_500","church_count_500","mosque_count_500","leisure_count_500","sport_count_500","market_count_500","green_part_1000","prom_part_1000","office_count_1000","office_sqm_1000","trc_count_1000","trc_sqm_1000","cafe_count_1000","cafe_sum_1000_min_price_avg","cafe_sum_1000_max_price_avg","cafe_avg_price_1000","cafe_count_1000_na_price","cafe_count_1000_price_500","cafe_count_1000_price_1000","cafe_count_1000_price_1500","cafe_count_1000_price_2500","cafe_count_1000_price_4000","cafe_count_1000_price_high","big_church_count_1000","church_count_1000","mosque_count_1000","leisure_count_1000","sport_count_1000","market_count_1000","green_part_1500","prom_part_1500","office_count_1500","office_sqm_1500","trc_count_1500","trc_sqm_1500","cafe_count_1500","cafe_sum_1500_min_price_avg","cafe_sum_1500_max_price_avg","cafe_avg_price_1500","cafe_count_1500_na_price","cafe_count_1500_price_500","cafe_count_1500_price_1000","cafe_count_1500_price_1500","cafe_count_1500_price_2500","cafe_count_1500_price_4000","cafe_count_1500_price_high","big_church_count_1500","church_count_1500","mosque_count_1500","leisure_count_1500","sport_count_1500","market_count_1500","green_part_2000","prom_part_2000","office_count_2000","office_sqm_2000","trc_count_2000","trc_sqm_2000","cafe_count_2000","cafe_sum_2000_min_price_avg","cafe_sum_2000_max_price_avg","cafe_avg_price_2000","cafe_count_2000_na_price","cafe_count_2000_price_500","cafe_count_2000_price_1000","cafe_count_2000_price_1500","cafe_count_2000_price_2500","cafe_count_2000_price_4000","cafe_count_2000_price_high","big_church_count_2000","church_count_2000","mosque_count_2000","leisure_count_2000","sport_count_2000","market_count_2000","green_part_3000","prom_part_3000","office_count_3000","office_sqm_3000","trc_count_3000","trc_sqm_3000","cafe_count_3000","cafe_sum_3000_min_price_avg","cafe_sum_3000_max_price_avg","cafe_avg_price_3000","cafe_count_3000_na_price","cafe_count_3000_price_500","cafe_count_3000_price_1000","cafe_count_3000_price_1500","cafe_count_3000_price_2500","cafe_count_3000_price_4000","cafe_count_3000_price_high","big_church_count_3000","church_count_3000","mosque_count_3000","leisure_count_3000","sport_count_3000","market_count_3000","green_part_5000","prom_part_5000","office_count_5000","office_sqm_5000","trc_count_5000","trc_sqm_5000","cafe_count_5000","cafe_sum_5000_min_price_avg","cafe_sum_5000_max_price_avg","cafe_avg_price_5000","cafe_count_5000_na_price","cafe_count_5000_price_500","cafe_count_5000_price_1000","cafe_count_5000_price_1500","cafe_count_5000_price_2500","cafe_count_5000_price_4000","cafe_count_5000_price_high","big_church_count_5000","church_count_5000","mosque_count_5000","leisure_count_5000","sport_count_5000","market_count_5000","price_doc"
83,34,19,8,14.0387741084731,3.01936948925523,1.67629230154933,7.73946270983545,"Investment",5264733.751,80791,0.184282943,0.050755569,5195,3082,4,5469,7123,4,0,0,0,10,2,"no",0,1,1,"no","no","no","no","no","no","no","no",81887,37070,44817,11356,5819,5537,47628,23527,24101,21807,6668,15139,5195,2621,2574,5469,2842,2627,12655,6470,6185,21910,10290,11620,10012,5135,4877,254,58,1,0,18,14,162,0,1,0,253,0,0,113,52,88,12,1.897382479,1.230656893,14.13402837,1.177835698,0.141020435,0.3599297,0.300930889,0.375444562,0.495334029,18.4448,1.48712,5.499282,1.322893112,15.87471735,12,1.82816883,2.563457646,12,0.245574154,2.946889844,1.304344256,"no",1.478967241,10.59955439,13.37764503,14.04868771,15.44433705,0.952891233,8,"no",1.478967229,1,0.274321048,"no",13.72605767,121,15.00418072,1,21.5744656,2.738837869,1.179421,0.980739731,2.078797919,1.181122572,16.32945427,6.041344579,0.548109276,4.723724157,1.839360942,7.469053682,3.602764697,1.825996386,7.228536054,3.714566131,4.023803372,2.767092722,0.960461042,1.285719953,0.890715424,0.3599297,1.083124791,1.085524688,6.662099212,19.56832931,9.508930669,4.820544185,0.829567339,"satisfactory",2.75,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.36,14.43,0,0,2,8499,6,666.67,1166.67,916.67,0,0,4,2,0,0,0,0,0,0,0,2,0,12.71,21.78,1,6957,5,124099,10,700,1166.67,933.33,1,1,4,4,0,0,0,1,1,0,0,6,0,12.23,19.39,2,30257,7,128499,20,711.11,1194.44,952.78,2,1,9,8,0,0,0,3,4,0,0,10,0,14,16.08,6,76257,13,283539,53,691.67,1156.25,923.96,5,14,16,14,3,1,0,7,8,0,0,20,1,14.5,15.96,30,834791,36,1205497,145,729.63,1229.63,979.63,10,30,53,38,10,4,0,11,10,0,1,43,4,1000000
131,33,32,5,9.49592246170905,1.60582098060459,2.05506545163501,6.40512177594292,"Investment",8841267.454,100846,0.127511955,0.307466659,4566,2646,4,5048,5396,6,0,2,0,3,2,"no",0,5,9,"no","no","no","no","no","no","yes","no",94564,42750,51814,10346,5389,4957,63495,32914,30581,27005,7943,19062,4566,2414,2152,5048,2588,2460,11692,6102,5590,19935,9452,10483,9037,4702,4335,326,101,0,0,149,2,74,0,0,0,326,6,4,217,85,14,9,2.310429871,1.736568973,20.83882768,1.736568973,0.105580293,0.521269559,1.138278863,0.021416738,0.235152382,21.25996,1.29297,3.905762,1.812789166,21.75347,54,1.812789166,2.265986455,54,0.120293751,1.443525006,0.042376045,"yes",4.455540972,7.603697065,10.38044252,11.05167548,12.44714801,2.448240105,5,"no",2.494563205,14,0.716757115,"no",9.476228313,121,10.02079105,5,18.79404703,1.100265869,3.778760419,0.033869892,4.405928666,2.684930027,20.05493478,2.817342116,0.25041599,2.559942717,3.177625448,3.219224328,1.324878356,1.257286033,3.175133851,0.947389519,1.274590316,0.781352952,1.801869035,0.84054849,0.347415566,0.521269559,1.493481515,1.328630074,4.838254543,8.763754204,6.866166001,4.411225557,0.259673197,"poor",10.49,11.02,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,16.84,27.74,1,5000,0,0,3,600,1000,800,0,1,1,1,0,0,0,0,0,0,0,1,0,14.28,29.6,7,148180,0,0,15,635.71,1071.43,853.57,1,3,6,5,0,0,0,1,1,0,0,9,0,12.46,25.29,12,351638,3,77900,21,575,1000,787.5,1,5,10,5,0,0,0,3,3,0,0,12,0,12.84,21.33,22,552613,13,279240,85,655,1106.25,880.63,5,23,31,22,2,2,0,8,10,0,0,29,4,16.38,18.54,56,1365727,43,1272430,231,684.62,1151.44,918.03,23,63,73,54,12,6,0,13,27,1,1,66,8,4800000
142,36,17,10,15.5837789551468,1,1.44098384484939,7.61026436525781,"Investment",7462269.563,129207,0.387099854,0.007720282,4669,3648,6,4788,6587,6,0,0,0,4,2,"no",0,4,2,"no","no","no","no","no","no","no","no",77878,35155,42723,10079,5160,4919,83861,38868,44993,35267,11931,23336,4669,2398,2271,4788,2455,2333,11313,5780,5533,17033,8191,8842,8791,4491,4300,152,14,5,0,2,2,128,0,1,0,152,2,3,1,135,11,53,2.99856426,2.170434154,26.04520984,2.170434154,0.222693213,0.100195062,1.403013447,0.250273924,1.152618565,3.683234,1.16884,6.04606,3.366424381,40.39709257,27,3.114282458,4.077967991,27,0.071983518,0.863802218,0.431503365,"no",3.23650881,9.56414129,12.90620747,14.51822905,15.15935434,3.236508786,1,"no",3.498902922,23,2.464546908,"no",15.78088867,32,2.515312455,11,5.989862078,3.614872418,1.450218713,1.66788866,5.929925381,4.968665823,2.495430807,0.587662956,0.879439308,1.779948079,3.19360386,5.408995987,4.194407938,2.782503913,3.417935538,3.427757498,2.44271113,1.154917637,0.658857709,0.919677998,0.148959724,0.100195062,0.583986442,0.585371266,7.139592219,10.9119973,2.866243261,3.901176457,0.442943726,"excellent",21.93,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,18.4,0,2,54500,4,77521,10,677.78,1166.67,922.22,1,2,4,2,1,0,0,2,2,0,0,1,2,16.92,0.81,2,54500,7,317021,25,691.67,1187.5,939.58,1,7,10,4,2,1,0,2,2,0,0,8,2,17.32,0.46,2,54500,10,368021,37,657.14,1128.57,892.86,2,10,15,7,2,1,0,2,2,0,0,12,3,20.6,3.38,2,54500,22,541968,62,637.04,1092.59,864.81,8,18,21,10,4,1,0,4,11,0,1,30,7,20.31,8.99,5,223771,40,1949966,128,665.22,1130.43,897.83,13,35,43,26,9,2,0,7,20,0,2,52,11,2000000
194,39,39,10,8.13932793129102,3.44115773419647,1.25516511972539,6.20056534542745,"Investment",3799999.352,76308,0.232655892,0.149666373,5096,1838,2,4789,4474,3,0,4,0,6,3,"no",0,1,2,"no","no","no","yes","no","no","no","no",118945,53052,65893,10530,5384,5146,48790,24297,24493,16988,5104,11884,5096,2575,2521,4789,2478,2311,11868,6085,5783,23760,11710,12050,9313,4745,4568,247,49,0,0,98,7,92,0,1,0,247,0,0,194,42,11,38,2.550727376,1.936866198,22.227374,1.852281166,0.251307269,0.262824803,2.733058004,0.113566103,0.513969961,14.12753,3.28577,11.20546,7.822391136,93.86869363,18,6.439465079,8.119936979,136,0.156577043,1.878924521,0.851683724,"no",1.045353307,8.894872837,11.17317941,11.91460886,13.68673997,1.045353308,1,"no",1.659951451,41,2.034713314,"no",12.4504518,97,3.386509061,7,6.456609272,18.80900444,1.169662861,1.584394773,4.119915261,6.203074766,15.96624275,2.597953302,0.393450794,2.446672243,5.490776072,4.959564618,1.08269641,0.932777425,10.56966335,0.439511956,1.073093221,0.748602474,0.861021742,0.816200506,0.138304444,0.262824803,1.9012032,1.089484032,7.081362103,6.67032702,5.499694944,3.456096828,0.751861575,"good",24.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22.05,9.41,2,39337,1,0,3,833.33,1500,1166.67,0,0,2,0,1,0,0,0,0,0,0,4,0,19.97,10.47,3,44337,1,0,14,746.15,1269.23,1007.69,1,4,5,2,1,1,0,0,1,0,0,11,0,24.01,5.89,4,184337,6,103845,24,700,1173.91,936.96,1,7,8,6,1,1,0,1,2,0,0,12,0,27.63,6.8,4,184337,7,120744,41,630,1062.5,846.25,1,14,14,10,1,1,0,2,4,0,0,20,4,34.29,7.92,9,270637,18,879166,87,665.85,1121.95,893.9,5,27,28,20,5,2,0,7,13,0,1,42,6,5000000
319,55,18,5,9.27303893086097,2.9759907216224,1.60972882015506,7.35952565791585,"Investment",7963518.819,105663,0.126499246,0.161975568,6700,2854,4,7010,7023,5,0,3,0,11,5,"no",0,7,5,"no","no","no","yes","no","no","yes","no",166803,77246,89557,14588,7421,7167,64875,33603,31272,26200,8001,18199,6700,3383,3317,7010,3585,3425,16161,8244,7917,31968,15597,16371,12927,6566,6361,407,44,0,0,277,9,75,0,2,0,411,0,12,304,63,32,122,2.16971285,1.599046873,19.18856248,1.599046873,1.766521489,0.378823047,1.79309991,0.045101497,0.871357835,20.88487,3.354874,10.26374,2.823801003,33.88561204,26,3.041388935,3.941335094,26,0.070266332,0.843195981,0.15985155,"no",4.025262432,6.592516861,9.524248746,10.37721029,11.55239128,2.439098367,29,"no",3.318799896,35,1.172065595,"no",10.6192354,83,6.544918566,1,20.06528557,1.554347847,0.482620903,1.926753642,3.847554039,4.378046271,25.17656868,3.657661088,0.405353453,0.964816533,1.853895229,1.832943622,1.247367633,2.33120054,6.565502383,2.155842363,4.044016342,2.634932273,1.112506425,1.493414734,0.370034486,0.697890503,2.54482597,1.107999117,8.887803391,10.13153241,8.260895186,2.91983601,0.677214886,"satisfactory",23.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22.48,0.58,0,0,0,0,4,700,1125,912.5,0,1,1,2,0,0,0,0,0,0,0,3,0,19.05,8.38,1,9000,3,151375,25,747.62,1261.9,1004.76,4,4,8,6,3,0,0,0,1,0,0,14,0,19.6,9.67,1,9000,5,238392,39,808.82,1352.94,1080.88,5,5,13,11,4,1,0,0,2,0,0,16,1,25.42,4.78,18,322306,13,325892,92,801.2,1331.33,1066.27,9,15,27,28,12,1,0,1,9,0,1,35,5,19.3,11.38,59,1612151,35,1522633,245,769.91,1287.04,1028.47,29,56,70,56,28,5,1,7,20,0,2,73,9,1000000
334,38,23,3,8.15841324677422,2.5873791958941,1.49757508765525,5.50120213022561,"Investment",5361326.947,80917,0.197068419,0.036122292,4169,1926,3,4378,6839,4,0,1,0,11,3,"no",0,1,0,"no","no","no","yes","no","no","no","no",79576,39261,40315,9111,4645,4466,49063,24680,24383,22743,6799,15944,4169,2104,2065,4378,2265,2113,10264,5255,5009,14204,7376,6828,7964,4077,3887,230,52,0,0,83,2,93,0,0,0,231,0,1,125,87,18,63,4.01757558,2.815227508,33.7827301,2.815227508,0.207207529,0.400647248,0.599139344,0.350319171,0.732787161,22.9342,1.400024,7.521395,2.111337541,25.3360505,25,2.038322367,3.151493373,84,0.284949954,3.419399449,0.71887058,"no",1.815442553,9.524846902,12.05123456,12.6990847,14.28102934,1.073413882,15,"no",1.565381148,42,0.312324674,"no",10.40625299,101,20.27424588,7,14.14151741,10.58489933,0.792121491,3.636149181,4.365120212,2.693219131,4.795669273,1.893044643,0.111164653,4.168788965,5.545173827,0.975333344,0.651787812,1.423886849,1.7921439,1.494721915,3.477126353,0.873042183,0.557226098,1.286873897,0.984889445,0.400647248,0.805224719,1.141617258,2.617255722,8.238744983,7.577289484,4.969953969,0.339134467,"good",7.19,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,13.65,0.5,0,0,1,7670,4,400,750,575,2,1,1,0,0,0,0,2,0,0,0,5,0,13.85,2.71,2,6650,2,24170,16,470,850,660,6,4,5,1,0,0,0,3,2,0,0,15,1,20.01,2.34,3,7602,3,57170,23,547.06,941.18,744.12,6,6,7,4,0,0,0,4,2,0,1,20,1,21.22,1.99,8,95952,9,1633828,45,632.43,1067.57,850,8,13,12,9,3,0,0,8,6,1,1,35,1,26.2,6.34,19,349779,26,3305166,85,656.34,1112.68,884.51,14,22,25,17,7,0,0,11,10,1,3,48,2,5800000
363,99,63,16,12.8752452024566,1.7023857312586,1.76677592394004,7.72317662980817,"Investment",9946335.108,139322,0.065408826,0.225824954,6400,2232,7,6558,7966,7,0,3,0,13,0,"no",0,2,7,"yes","no","yes","yes","no","no","no","no",36154,16222,19932,13799,6937,6862,91795,44734,47061,33728,9653,24075,6400,3209,3191,6558,3317,3241,15514,7813,7701,8137,3787,4350,12162,6117,6045,561,111,0,0,254,3,189,0,4,0,561,0,5,437,79,40,44,3.019741151,2.100835705,25.21002846,2.100835705,0.599372706,0.543056155,0.149448298,0.225920164,0.969533036,9.115977,2.469733,10.51889,0.285609281,3.427311372,68,0.285609281,0.52197268,68,0.139904561,1.678854734,0.751183021,"no",4.619890874,3.762231484,7.071754294,7.680231784,9.137184966,2.401692485,10,"no",3.604442429,3,0.232559404,"no",10.09125294,5,8.211970737,10,1.730636379,11.79002352,2.049805827,3.792594789,2.932896447,2.339532209,16.58097596,2.067097111,0.658116362,2.58977258,5.345503067,0.652675214,0.672029408,3.107913313,6.716016332,0.667547568,4.860806463,2.813377859,1.234482282,0.993216483,2.985638736,0.543056155,2.322114484,0.590475656,8.46200928,3.260254125,2.640909604,2.199911377,0.940489509,"poor",9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.7,0.07,1,1700,0,0,2,500,1000,750,0,0,2,0,0,0,0,0,1,0,0,5,0,15.86,10.51,6,137337,1,0,10,660,1150,905,0,2,5,2,1,0,0,0,1,0,0,10,2,16.45,24.07,11,225207,1,0,19,736.84,1236.84,986.84,0,5,7,5,1,1,0,0,1,0,0,16,2,16.29,28.36,13,259207,5,240706,47,697.78,1177.78,937.78,2,13,16,11,4,1,0,3,6,0,4,35,5,19.05,19.84,43,1051407,30,1070937,142,632.09,1082.09,857.09,8,39,55,31,8,1,0,8,17,0,10,81,16,11500000
389,38,19,6,13.0715633928396,1.13568450591309,2.23624364846262,6.30152638363584,"Investment",9282438.657,143661,0.153279465,0.127375905,8356,3844,6,8429,8810,7,0,3,0,3,4,"no",0,9,3,"no","no","no","no","no","no","no","no",112221,49045,63176,17830,9326,8504,93309,46970,46339,32522,9229,23293,8356,4490,3866,8429,4367,4062,19887,10243,9644,22516,10217,12299,15922,8432,7490,224,41,2,0,16,1,164,0,0,0,222,0,1,14,188,19,104,2.696056041,1.108561146,11.76869543,0.980724619,0.405832517,0.27382189,1.972553703,0.25491769,0.99540032,8.541214,2.256341,2.789288,2.500165047,30.00198056,73,2.507113607,4.808587067,73,0.078313478,0.939761735,0.935691455,"no",2.052174124,11.60719184,14.80846937,16.21281315,16.85832428,0.855518362,2,"no",2.05217413,1,1.807564542,"no",17.21794441,32,4.711603207,9,14.99174563,7.74439897,3.019510229,2.134676321,3.522921626,2.22856429,12.61605219,5.591165594,1.333794024,4.783835743,8.942979198,14.29113929,1.637741561,3.789911149,20.26399931,1.179457393,7.651571094,1.134132331,0.719106758,0.888048423,0.326622187,0.27382189,2.493413227,0.711914476,5.835326829,8.615962768,6.156031242,6.305314071,0.89581322,"poor",16.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.49,0,2,66947,3,62283,2,400,750,575,0,1,1,0,0,0,0,0,1,0,0,0,0,35.13,2.78,2,66947,6,90783,5,480,800,640,0,3,1,1,0,0,0,0,1,0,0,1,0,35.52,5.8,2,66947,14,276862,12,541.67,916.67,729.17,0,5,4,3,0,0,0,0,1,0,0,4,0,33.97,15.79,5,108947,19,653265,23,661.9,1095.24,878.57,2,8,5,6,2,0,0,3,10,0,0,9,3,34.95,13.75,9,546509,38,1107769,73,673.53,1117.65,895.59,5,26,17,18,6,1,0,7,18,0,0,30,4,5200000
394,75,44,5,14.0068458753156,1.82797557065202,2.08611114812584,9.28742513432944,"Investment",5725729.259,122873,0.141280723,0.175054867,8132,3916,4,10055,7595,4,0,1,0,6,0,"no",0,0,3,"no","no","no","yes","no","no","no","no",60315,27188,33127,19487,9291,10196,77062,37955,39107,26324,7691,18633,8132,3849,4283,10055,4842,5213,21615,10335,11280,14780,6845,7935,16940,8087,8853,263,95,0,0,4,3,161,0,0,0,259,0,0,124,73,62,51,2.797069822,1.891297284,22.69556741,1.891297284,0.361132428,0.344241612,0.611830429,0.051117384,0.565287176,23.7464,1.148778,4.913668,3.871166858,46.45400229,25,3.918633788,6.766348846,25,0.18000399,2.160047881,0.561629116,"no",1.665857686,9.746247816,12.083704,12.77425688,14.20234033,1.665857679,1,"no",3.507730401,15,0.670428448,"no",11.63307728,101,20.29222,7,15.85044708,8.038744726,2.160233596,1.488681514,4.397129368,2.133587581,4.813643398,3.206851436,0.379973378,4.272879342,3.113000515,4.340844499,0.756221763,2.271507885,1.823988286,2.122007441,3.755109252,0.344241612,1.142424158,1.142424158,1.028424482,0.344241612,1.154610222,0.982857088,4.490694111,8.256719108,6.634945267,5.103123969,0.64217277,"good",7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18.39,15.77,0,0,0,0,7,683.33,1083.33,883.33,1,2,1,3,0,0,0,0,1,0,0,4,0,14.59,21.79,5,92600,3,35367,16,726.67,1200,963.33,1,3,5,6,1,0,0,2,3,0,0,8,0,13.49,16.6,6,108184,6,81067,22,666.67,1119.05,892.86,1,5,8,7,1,0,0,4,4,0,0,11,0,12.87,9.91,8,115507,22,2623772,58,569.23,961.54,765.38,6,22,16,12,2,0,0,6,6,0,0,25,2,11.94,11.05,28,636625,45,3758780,153,643.28,1093.28,868.28,19,44,48,30,11,1,0,14,19,1,1,70,4,12100000
432,53,28,2,9.06281154147592,2.09716143224941,2.3031219761105,6.17099303232414,"Investment",17881913.61,165727,0.260652636,0.133215333,10809,5153,10,11395,11887,13,0,3,0,13,1,"no",0,4,3,"no","no","no","yes","no","yes","no","yes",89971,44031,45940,23651,12084,11567,107626,53883,53743,34450,9536,24914,10809,5581,5228,11395,5778,5617,26333,13469,12864,23273,13683,9590,20866,10654,10212,462,58,0,0,209,4,190,0,1,0,461,0,20,193,154,94,43,2.463849544,1.839309936,22.07171923,1.839309936,0.298823037,0.266906861,0.964182703,0.065965687,0.242948987,3.055027,2.569578,10.83393,0.794456083,9.533472992,17,0.794456083,1.157782214,17,0.041132139,0.493585669,0.866520349,"no",5.766909517,5.026556045,8.525698612,9.770544121,10.65699902,3.126994105,3,"no",5.026556039,4,0.383814749,"no",11.39771321,5,8.287864839,3,5.491599411,5.464775878,0.770969326,3.837133462,5.592686682,4.921379463,3.192028195,0.589227946,0.543633648,0.740131594,3.539183259,3.437776462,1.095741087,0.965793051,4.754308115,1.55450792,1.269581205,1.752648167,1.501295882,0.599845011,1.05409272,0.572750652,0.839999569,1.052526821,8.556779255,5.85076284,3.473793891,3.100075743,0.795049301,"excellent",11.8,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.38,7.07,2,14252,0,0,5,900,1400,1150,0,0,1,4,0,0,0,1,0,0,0,6,1,15.9,7.25,2,14252,0,0,11,700,1200,950,1,0,6,4,0,0,0,2,1,0,0,11,1,15.19,7.66,2,14252,3,10420,19,782.35,1294.12,1038.24,2,1,7,8,1,0,0,2,11,0,0,13,2,13.44,14.49,4,75823,13,629898,48,644.19,1104.65,874.42,5,9,20,12,2,0,0,3,15,0,0,21,3,17.64,18.94,17,729479,36,1040725,123,657.14,1120.54,888.84,11,37,41,22,10,2,0,7,27,0,8,63,12,6800000
